city_name,hotel_name,hotel_url,hotel_coord,hotel_score,hotel_text
Carcassonne,"
Sur le quai
","https://www.booking.com/hotel/fr/sur-le-quai-courtaboeuf-cedex.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.209270,2.355700","9,9","
Située à Carcassonne, la chambre d'hôtes Sur le quai propose un jardin avec une piscine extérieure ouverte en saison et une terrasse commune offrant une vue panoramique sur les remparts de la cité...
"
Carcassonne,"Pelletier du Claux
","https://www.booking.com/hotel/fr/pelletier-du-claux.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2090887,2.363143","9,9","
Situé à 500 mètres du centre historique de Carcassonne, le Pelletier du Claux propose des hébergements indépendants dans un bâtiment datant du XVIe siècle. 
"
Carcassonne,"
B&B La Maison Vintage
","https://www.booking.com/hotel/fr/la-maison-vintage.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2157516,2.3472584","9,8","
Le B & B La Maison Vintage est situé à Carcassonne, à 20 minutes à pied des murs de la ville médiévale et à 100 mètres du canal du Midi. 
"
Carcassonne,"
Au Vieux Lavoir
","https://www.booking.com/hotel/fr/au-vieux-lavoir.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2126,2.4108","9,8","
L'Au Vieux Lavoir est un appartement situé à 500 mètres de l'entrée de la cité médiévale de Carcassonne et à 900 mètres du centre-ville. 
"
Cassis,"
THE ADDRESS CASSIS
","https://www.booking.com/hotel/fr/the-address-cassis.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1g70kry41&from=searchresults
;highlight_room=#hotelTmpl","43.2203981,5.5412141","9,8","
Situé à Cassis, à 1,1 km de Bestouan, l’établissement THE ADDRESS CASSIS propose un hébergement avec une piscine extérieure, un parking privé gratuit, un bar et un salon commun. 
"
Carcassonne,"
45BB
","https://www.booking.com/hotel/fr/45bb.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.210250,2.350140","9,7","
Situé à Carcassonne, à proximité de la cathédrale, du Memorial House (Maison des Mémoires) et de la médiathèque Grain d'Arts, le 45BB propose une connexion Wi-Fi gratuite, une piscine extérieure...
"
Carcassonne,"
LA COUR CARREE
","https://www.booking.com/hotel/fr/la-cour-carree-carcassonne.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2103157043457,2.348982572555542","9,7","
Situé à 80 mètres de la cathédrale de Carcassonne, l'établissement LA COUR CARREE propose un service de prêt de vélos, une terrasse et une réception ouverte 24h/24. La connexion Wi-Fi est gratuite. 
"
Carcassonne,"
Drissia&Othman Bella Vista
","https://www.booking.com/hotel/fr/cosy-et-au-calme-avec-terrasse-vue-cite.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2126,2.4108","9,7","
Situé à Carcassonne, le Drissia&Othman Bella Vista propose un hébergement avec une piscine privée. Cet hébergement climatisé se trouve à 2,6 km du Mémorial (Maison des Mémoires). 
"
Carcassonne,"
Appartement Aloa
","https://www.booking.com/hotel/fr/aloa.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2191639,2.355091","9,7","
Doté d'une terrasse de 50 m2, d'une salle de sport et d'une cheminée, l'Appartement Aloa propose un hébergement indépendant à Carcassonne. 
"
Carcassonne,"
Bed & Breakfast L'Orangerie
","https://www.booking.com/hotel/fr/bed-amp-breakfast-l-39-orangerie-carcassonne.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2054466,2.390836","9,7","
Doté d'une piscine extérieure chauffée et d'un bain à remous, le Bed & Breakfast L'Orangerie Carcassonne est une maison d'hôtes occupant un manoir restauré à Carcassonne. 
"
Carcassonne,"
Gîte les 3 tours 1e étage
","https://www.booking.com/hotel/fr/gite-les-3-tours-1e-etage.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=23&hpos=23&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2126,2.4108","9,7","
Le Gîte les 3 tours 1e étage est un hébergement situé à Carcassonne, à 1,1 km de la cathédrale et à 2,9 km de l'IUT de Perpignan. 
"
Cassis,"
T2 VUE IMPRENABLE SUR CASSIS
","https://www.booking.com/hotel/fr/t2-vue-imprenable-sur-cassis.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1-kwYkniA&from=searchresults
;highlight_room=#hotelTmpl","43.21400451660156,5.53297233581543","9,7","
Situé à Cassis, à 300 mètres de Bestouan, le T2 VUE IMPRENABLE SUR CASSIS propose un hébergement avec un casino, une connexion Wi-Fi gratuite et une cuisine commune. 
"
Carcassonne,"
Chambre privée proche de la cité
","https://www.booking.com/hotel/fr/chambre-privee-avec-petit-dej-engl.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.21064,2.3739407","9,6","
La Chambre privée proche de la cité vous accueille pour un séjour chez l’habitant à Carcassonne, à 1 km de la vieille ville médiévale. Cet établissement possède un jardin potager et une terrasse. 
"
Carcassonne,"
Gîtes Les 3 Tours 2
","https://www.booking.com/hotel/fr/gites-les-3-tours-2.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=11&hpos=11&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2094334,2.3649966","9,6","
Situé à Carcassonne, à 1,2 km de la Maison des Mémoires, l'établissement Gîtes Les 3 Tours 2 propose des hébergements avec une terrasse, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. 
"
Carcassonne,"
Gîte Carcasso
","https://www.booking.com/hotel/fr/carcasso.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=15&hpos=15&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2072637,2.3614598","9,6","
Le Gîte Carcasso est situé à proximité des remparts de la ville de Carcassonne, à 100 mètres du château médiéval et en face de l'église Saint-Gimer. 
"
Carcassonne,"
Carnot Chic
","https://www.booking.com/hotel/fr/carnot-chic.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=21&hpos=21&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2135346,2.3511786","9,6","
Le Carnot Chic est situé à Carcassonne, à 100 mètres du Mémorial (Maison des Mémoires) et à 1 km de la cathédrale, dans une région où vous pourrez faire de la randonnée. 
"
Carcassonne,"
Le Cœur de la Bastide
","https://www.booking.com/hotel/fr/le-coeur-de-la-bastide.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=22&hpos=22&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2142307,2.3550487","9,6","
Situé à Carcassonne, à 300 mètres du Mémorial (Maison des Mémoires) et à moins de 1 km de la cathédrale, l'établissement Le Cœur de la Bastide propose des hébergements avec une connexion Wi-Fi...
"
Carcassonne,"
Chambres d'hotes - Le Magnolia
","https://www.booking.com/hotel/fr/b-amp-b-le-magnolia-carcassonne.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2126,2.4108","9,6","
Installé à Carcassonne, à 2,5 km de la cathédrale et à 3,6 km de la zone commerciale Pont Rouge, le Chambres d'hotes - Le Magnolia propose des hébergements avec une connexion Wi-Fi gratuite, la...
"
Cassis,"
Chambre d'hôtes Clos du Petit Jésus
","https://www.booking.com/hotel/fr/clos-du-petit-ja-c-sus.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1ebdMZpfN&from=searchresults
;highlight_room=#hotelTmpl","43.2155181,5.545973","9,6","
Situé à Cassis, à seulement 5 minutes à pied de la plage, le Clos du Petit Jésus propose une piscine extérieure, une terrasse privée et un espace de bronzage. 
"
Cassis,"
Puerta Del Sol
","https://www.booking.com/hotel/fr/puerta-del-sol.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=0deca2b9733251f456d2b3ca01f85f61&dest_id=-1416912&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=19&hpos=19&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221530&srpvid=a66e656c60c40067&ucfs=1&sig=v1nvvAaI3H&from=searchresults
;highlight_room=#hotelTmpl","43.226996,5.5346055","9,6","
Situé à Cassis, à 1,7 km de Bestouan et à 7 km du cap Canaille, le Puerta Del Sol dispose d'une terrasse et de la climatisation. 
"
Carcassonne,"
B&B Les chambres d'Aimé
","https://www.booking.com/hotel/fr/les-chambres-d-39-aime.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.2118403,2.3553966","9,5","
Doté d'une connexion Wi-Fi gratuite, l'établissement Les chambres d'Aimé est une maison datant du XIXe siècle entièrement restaurée située à Carcassonne, à 20 minutes de marche de la Cité de...
"
Carcassonne,"
Carcassonne Townhouse
","https://www.booking.com/hotel/fr/carcassonne-townhouse.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=13&hpos=13&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","43.3115305,1.8341204","9,5","
Proposant un service de prêt de vélos, le Carcassonne Townhouse est situé à 1,1 km de la Cité Médiévale et à 800 mètres de la place Carnot ainsi que des boutiques et des restaurants. 
"
Carcassonne,"
B&B Domaine de Fontète
","https://www.booking.com/hotel/fr/b-amp-b-domaine-de-fonta-te.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=14&hpos=14&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2.3950919508934,43.2018149415358","9,5","
Située à Carcassonne, à 2 km de la cité médiévale, cette maison d'hôtes est entourée par un jardin avec des tables et des chaises. 
"
Carcassonne,"
Carcassonne Guesthouse
","https://www.booking.com/hotel/fr/carcassonne-guesthouse.fr.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaE2IAQGYAQ24ARnIAQzYAQHoAQH4AQuIAgGoAgO4AtqckYsGwAIB0gIkNWVlZWJmYjQtYjUwYy00ODM2LTljNzYtOThjNDUwNjcyMWNh2AIG4AIB&sid=733f31f754f5024ce705ed118e2c20c5&dest_id=-1416701&dest_type=city&group_adults=2&group_children=0&hapos=16&hpos=16&no_rooms=1&sr_order=bayesian_review_score&srepoch=1634221529&srpvid=18b1656c30740057&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2.35533624887466,43.2086936385093","9,5","
La maison d'hôtes Carcassonne Guesthouse est située à Carcassonne. L'établissement est situé sur la rivière Aude et dispose d'une terrasse commune avec vue sur le château. 
"
